run_id,ts_iso,model_id,model_display,tier,prompt_id,category,size,quality,latency_ms,n_retries,http_status,refused,error,local_path,image_width,image_height,image_bytes,raw_cost_usd,effective_cost_usd,watermark_suspected,response_truncated_note,vision_adherence_mean,vision_aesthetic_mean,vision_photoreal_mean,vision_text_mean,vision_anatomy_mean,vision_adherence_var,vision_aesthetic_var,vision_photoreal_var,vision_text_var,vision_anatomy_var,vision_mean_judge_a,vision_mean_judge_b,vision_quality_score,vision_quality_variance,vision_judge_notes,auto_vqa_score,auto_clip_score,auto_aesthetic_score,auto_backend_notes
5d2eed07-0000,2026-05-20T17:57:33Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-111,hyper_complex,1024x1024,auto,120511,2,,False,"request_exception: HTTPSConnectionPool(host='api.meshapi.ai', port=443): Read timed out. (read timeout=120)",,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
5d2eed07-0001,2026-05-20T17:58:15Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-111,hyper_complex,1024x1024,auto,42334,0,200,False,,images/openai_gpt-image-1.5__T2I-111.png,1024,1024,2398960,0.032,0.032,False,,2.0,3.0,,3.0,3.0,0,0,,0,0,2.75,,2.75,0.188,[anthropic/claude-opus-4.7@t0.0]: Missing Aurora Café signage and third table with fallen chair; no clearly visible woman in yellow reading (yellow dress present but not reading paperback distinctly); two men in suits not both present; library lacks 6 steps clearly; banners partially correct ('OPEN UNTIL 8 PM' truncated); two dogs shown instead of one; pedestrian count exceeds four; shadows inconsistent with noon upper-right direction; pigeons appear to be 4-5 not 3. Isometric feel is approximate but leans more 3/4 perspective. | [anthropic/claude-opus-4.7@t0.3]: Missing Aurora Café signage and the third table with fallen chair; no clearly visible courier pizza box (boxes look like parcels); two dogs appear instead of one; pedestrians exceed four when counting courier and dog walker; shadows inconsistent with noon upper-right direction; banners and DDS plaque legible but library banner partially cut.,,,,
5d2eed07-0002,2026-05-20T17:58:39Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-111,hyper_complex,1024x1024,auto,23745,0,200,False,,images/google_imagen-4-ultra__T2I-111.png,1024,1024,1853645,0.06,0.06,False,,2.0,3.0,,2.0,3.0,0,0,,0,0,2.5,,2.5,0.25,"[anthropic/claude-opus-4.7@t0.0]: Isometric style achieved with most key elements present (café, bookstore, taxi, bike courier, dog, statue, banners), but many specifics fail: woman not in yellow dress, no fallen chair, banner text garbled ('SUMMER BORN'/'BORN ITS'), library label reads 'BRAMBLE & VINE LIBRARY', more than 4 pedestrians, no visible 3 pigeons clearly, shadows not strongly directional, dentist plaque text unreadable. | [anthropic/claude-opus-4.7@t0.3]: Captures many elements (café, bookstore, taxi, courier with pizza box, dog, statue, pigeons) but misses key details: woman not in yellow, no fallen chair, banners text garbled, library lacks 6 distinct steps, more than 4 pedestrians, shadows inconsistent, and 'Bramble & Vine' appears on both bookstore and library.",,,,
5d2eed07-0003,2026-05-20T17:58:46Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-111,hyper_complex,1024x1024,auto,7237,0,200,False,,images/google_imagen-4-fast__T2I-111.png,1024,1024,1632081,0.02,0.02,False,,2.0,3.0,,2.0,3.0,0,0,,0,0,2.5,,2.5,0.25,"[anthropic/claude-opus-4.7@t0.0]: Captures general scene with café, bookstore, library, taxi, statue, courier on red bike, dog, and pigeons, but misses many specifics: no 3 outdoor tables (only 1), no fallen chair, no two men in suits with espresso, no cat or ladder visible, no DDS plaque, banners don't show required text, only 3 pigeons not clearly placed on plinth, pedestrian count off, shadows not clearly noon/upper-right. Text 'BRAMBLE & VINE BOOKS' readable but library banners illegible. | [anthropic/claude-opus-4.7@t0.3]: Isometric view achieved with café, bookstore, library, taxi, red bike courier, statue, pigeons, dog. However many details missing/wrong: only one café table (not 3), no fallen chair, no two men in suits with espresso, no dentist plaque, library lacks 6 steps and readable banners ('SUMMER READING'/'OPEN UNTIL 8 PM' not visible), Bramble text duplicated, no black cat or brass ladder visible, more than 4 pedestrians, shadows not clearly noon-directional.",,,,
5d2eed07-0004,2026-05-20T17:59:26Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-111,hyper_complex,1024x1024,auto,39481,0,200,False,,images/openai_gpt-image-1-mini__T2I-111.png,1024,1024,2385132,0.008,0.008,False,,2.0,3.0,,2.0,3.0,0,0,,0,0,2.5,,2.5,0.25,"[anthropic/claude-opus-4.7@t0.0]: Captures the general scene with café, bookstore, statue, taxi, bike courier, dog on leash, but misses many specifics: no dentist plaque, banners text garbled ('OPRINE BSLIME'), no 6 steps clearly, no 3 pigeons, no fallen chair distinctly, only one man at café not two in suits with espresso, no clearly 4 pedestrians with distinct coats, shadows inconsistent. Bramble & Vine text legible, Aurora Café partially legible. | [anthropic/claude-opus-4.7@t0.3]: Captures isometric feel and many elements (café, bookstore, ladder, statue, taxi, bicycle courier, dog), but misses key specifics: no dentist plaque, banners text garbled, only one occupied café table with no fallen chair, no pigeons, no yellow dress, no espresso pair, bike not clearly red/electric, shadows inconsistent.",,,,
5d2eed07-0005,2026-05-20T18:03:29Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-118,hyper_complex,1024x1024,auto,120212,2,,False,"request_exception: HTTPSConnectionPool(host='api.meshapi.ai', port=443): Read timed out. (read timeout=120)",,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
5d2eed07-0006,2026-05-20T18:04:10Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-118,hyper_complex,1024x1024,auto,41181,0,200,False,,images/openai_gpt-image-1.5__T2I-118.png,1024,1024,2589536,0.032,0.032,False,,3.0,4.0,4.0,,4.0,0,0,0,,0,3.75,,3.75,0.188,"[anthropic/claude-opus-4.7@t0.0]: Captures most named elements (fruit seller awning, sadhu, brassware pyramid, tabla+sitar duo, elephant with peacock fan, dog with bowl, fort/minarets, cobras). Missing: snake charmer playing been (only cobras visible, no charmer), balance scale shown but no clear fruit seller adult, only kite corner visible without boy flying it clearly, three children present but not at respectful distance from charmer. Style is convincingly miniature-like with jewel tones. | [anthropic/claude-opus-4.7@t0.3]: Captures most elements: fruit seller area, sadhu, brass pyramid, cobra basket (two cobras, no charmer visible playing been), tabla+sitar duo, elephant with peacock fan, dog with bowl, kite corner, fort/minarets. Missing clear snake charmer figure, only partial children count, balance scale shown but seller unclear. Style is convincingly miniature-like with jewel tones.",,,,
5d2eed07-0007,2026-05-20T18:04:34Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-118,hyper_complex,1024x1024,auto,24123,0,200,False,,images/google_imagen-4-ultra__T2I-118.png,1024,1024,910004,0.06,0.06,False,,2.0,3.0,3.0,,4.0,0,0,0,,0,3.0,,3.0,0.5,"[anthropic/claude-opus-4.7@t0.0]: Captures fruit seller with balance scale under striped awning and saffron-clad customer, but missing snake charmer with cobra, brassware pyramid, sadhu, tabla/sitar musicians, elephant with noblewoman, dog, kite-flying boy, and fort/minarets. Style approximates miniature but lacks jewel tones, gold leaf, and fine detail. | [anthropic/claude-opus-4.7@t0.3]: Captures fruit seller with balance scale under striped awning and saffron-kurta customer, but missing snake charmer, cobra, brassware pyramid, sadhu, tabla/sitar musicians on platform, elephant with noblewoman, stray dog, kite-flying boy, and fort/minarets. Style is approximate miniature but lacks gold leaf and jewel-tone richness.",,,,
5d2eed07-0008,2026-05-20T18:04:40Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-118,hyper_complex,1024x1024,auto,5580,0,200,False,,images/google_imagen-4-fast__T2I-118.png,1024,1024,1944871,0.02,0.02,False,,3.0,3.0,3.0,,3.5,0,0,0.0,,0.25,3.143,,3.143,0.122,"[anthropic/claude-opus-4.7@t0.0]: Captures most named elements (fruit seller, awning, scale, snake basket, brassware pyramid, sadhu, tabla+sitar, elephant with peacock fan, dog, fort wall, boy with red kite) but missing snake charmer with been, only one child near snake instead of three, kite is held low not flying up out of frame, and total figures slightly under 16. Style is more illustrative than authentic Mughal miniature, lacking gold leaf and fine miniature linework. Anatomy acceptable; some hand/finger awkwardness. | [anthropic/claude-opus-4.7@t0.3]: Most named elements present (fruit seller with scale under striped awning, snake charmer basket with cobra, brassware pyramid, sadhu, tabla+sitar duo, noblewoman on white elephant with peacock fan, dog with water bowl, boy with red kite, fort/minarets). Missing: no visible snake charmer playing been (no charmer figure), kite string doesn't reach out of frame, only ~12 figures clearly. Style is more illustrative than authentic Mughal",,,,
5d2eed07-0009,2026-05-20T18:05:22Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-118,hyper_complex,1024x1024,auto,41825,0,200,False,,images/openai_gpt-image-1-mini__T2I-118.png,1024,1024,2702937,0.008,0.008,False,,3.0,4.0,4.0,,3.5,0,0,0,,0.25,3.625,,3.625,0.234,"[anthropic/claude-opus-4.7@t0.0]: Captures many key elements (fruit seller, brassware pyramid, sadhu, children, cobra, elephant with noblewoman, dog with bowl, fort silhouette) but missing balance scale, been instrument, distinct snake charmer, tabla, platform, kite, and peacock-fan attendant is unclear. Only two musicians shown both with sitar-like instruments. Style is convincingly miniature-like though palette leans muted rather than jewel-toned with gold leaf. | [anthropic/claude-opus-4.7@t0.3]: Captures many elements (fruit seller, awning, brassware pyramid, sadhu, musicians, elephant with noblewoman/peacock fan, children, dog, fort skyline) but missing balance scale, snake charmer playing been (cobra present without charmer), tabla replaced with second sitar, and no boy flying kite. Style is appropriately miniature-like with decorative border, though figures are fewer than 16.",,,,
