run_id,ts_iso,model_id,model_display,tier,prompt_id,category,size,quality,latency_ms,n_retries,http_status,refused,error,local_path,image_width,image_height,image_bytes,raw_cost_usd,effective_cost_usd,watermark_suspected,response_truncated_note,vision_adherence_mean,vision_aesthetic_mean,vision_photoreal_mean,vision_text_mean,vision_anatomy_mean,vision_adherence_var,vision_aesthetic_var,vision_photoreal_var,vision_text_var,vision_anatomy_var,vision_mean_judge_a,vision_mean_judge_b,vision_quality_score,vision_quality_variance,vision_judge_notes,auto_vqa_score,auto_clip_score,auto_aesthetic_score,auto_backend_notes
3362684d-0000,2026-05-20T14:35:03Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-001,photoreal_portrait,1024x1024,auto,55788,1,200,False,,images/openai_gpt-image-2__T2I-001.png,1024,1024,1513957,0.03,0.045,False,,4.75,5.0,5.0,,5.0,0.188,0,0,,0,4.875,5.0,4.938,0.059,"[anthropic/claude-opus-4.7@t0.0]: Strong portrait matching age, silver low bun, hazel eyes, gray backdrop, and shallow DOF. Lighting feels soft but direction is more frontal than distinctly camera-left golden hour. | [anthropic/claude-opus-4.7@t0.3]: Strong match to prompt: silver low bun, hazel eyes with crow's feet, warm directional light, gray backdrop, shallow DOF. | [openai/gpt-5.5@t0.0]: Strong match: elderly woman with silver low bun, hazel eyes, crow's feet, warm left-side golden lighting, shallow depth of field, and neutral gray blurred backdrop. Photorealistic and anatomically clean. | [openai/gpt-5.5@t0.3]: Excellent match: elderly woman with silver low bun, hazel eyes, crow's feet, warm left-side golden light, shallow depth of field, and neutral gray backdrop. Photorealistic and anatomically clean.",,,,
3362684d-0001,2026-05-20T14:35:33Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-001,photoreal_portrait,1024x1024,auto,29271,0,200,False,,images/openai_gpt-image-1.5__T2I-001.png,1024,1024,1599627,0.032,0.032,False,,5.0,5.0,5.0,,5.0,0,0,0,,0,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: Strong match: silver hair in low bun, warm directional light from left, gray backdrop, shallow DOF, age appropriate with crows feet. | [anthropic/claude-opus-4.7@t0.3]: Strong match: silver low bun, hazel eyes, crow's feet, warm golden light from left, gray backdrop, shallow DoF. | [openai/gpt-5.5@t0.0]: Matches the prompt closely: elderly woman with silver low bun, hazel eyes, visible crow's feet, warm camera-left golden light, shallow depth of field, and neutral gray backdrop. | [openai/gpt-5.5@t0.3]: Strong match: elderly woman in her 70s with silver hair in a low bun, hazel eyes, visible crow's feet, warm golden light from camera left, shallow depth of field, and neutral gray backdrop. Photorealistic and polished.",,,,
3362684d-0002,2026-05-20T14:35:47Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-001,photoreal_portrait,1024x1024,auto,13976,0,200,False,,images/google_imagen-4-ultra__T2I-001.png,1024,1024,1317197,0.06,0.06,False,,5.0,5.0,5.0,,5.0,0,0,0,,0,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: Strong match on age, silver bun, hazel eyes, golden hour from left, gray backdrop. | [anthropic/claude-opus-4.7@t0.3]: Strong match across all flagged attributes; warm directional light from left, silver low bun, hazel eyes, age-appropriate skin detail, gray backdrop with shallow DOF. | [openai/gpt-5.5@t0.0]: Excellent match: elderly woman with silver low bun, hazel eyes, crow's feet, warm left-side golden-hour lighting, shallow depth of field, and neutral gray backdrop. Photorealistic and anatomically clean. | [openai/gpt-5.5@t0.3]: Strong match: elderly woman with silver low bun, hazel eyes and crow's feet, warm golden-hour light from camera left, shallow depth of field, and neutral gray backdrop. Photorealistic and anatomically clean.",,,,
3362684d-0003,2026-05-20T14:35:54Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-001,photoreal_portrait,1024x1024,auto,6905,0,200,False,,images/google_imagen-4-fast__T2I-001.png,1024,1024,1284118,0.02,0.02,False,,4.5,5.0,5.0,,5.0,0.25,0,0,,0,4.75,5.0,4.875,0.109,"[anthropic/claude-opus-4.7@t0.0]: Strong portrait matching most attributes; subject reads closer to 60 than 70 but silver bun, hazel eyes, warm side light, gray backdrop, and shallow DOF are present. | [anthropic/claude-opus-4.7@t0.3]: Silver low bun, hazel eyes, crows feet, shallow DOF, gray backdrop all present. Warm light reads more as soft warm rim than clearly golden-hour directional from left. Subject appears closer to 60 than 70. | [openai/gpt-5.5@t0.0]: Strong match: silver low bun, hazel eyes with crow's feet, warm camera-left lighting, shallow depth of field, and neutral gray backdrop are all well represented. | [openai/gpt-5.5@t0.3]: Matches the requested portrait closely: elderly woman with silver low bun, hazel eyes and crows feet, warm camera-left lighting, shallow depth of field, and neutral gray backdrop. Photorealistic and anatomically clean.",,,,
3362684d-0004,2026-05-20T14:36:16Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-001,photoreal_portrait,1024x1024,auto,22308,0,200,False,,images/openai_gpt-image-1-mini__T2I-001.png,1024,1024,1436589,0.008,0.008,False,,4.25,4.5,5.0,,5.0,0.188,0.25,0,,0,4.5,4.875,4.688,0.215,"[anthropic/claude-opus-4.7@t0.0]: Strong photoreal portrait; silver hair, hazel eyes, age, gray backdrop and shallow DoF all match. Golden hour light from camera left is subtle—lighting feels softer/more neutral than warm golden. | [anthropic/claude-opus-4.7@t0.3]: Strong photoreal portrait with believable age and skin detail; hazel eyes and gray backdrop present. Golden hour warmth is subtle and light direction reads more frontal/right than camera-left. Bun is loose rather than a clean low bun. | [openai/gpt-5.5@t0.0]: Strong photorealistic elderly portrait with silver hair in a low bun, hazel/brown eyes, visible crow's feet, shallow depth of field, and neutral gray backdrop. Warm golden lighting is present, though it appears more from camera right than camera left. | [openai/gpt-5.5@t0.3]: Strong match: elderly woman in her 70s with silver hair in a low bun, hazel-looking eyes, visible crow's feet, warm camera-left lighting, shallow depth of field, and neutral gray backdrop. Photorea",,,,
3362684d-0005,2026-05-20T14:37:32Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-011,typography,1024x1024,auto,75720,0,200,False,,images/openai_gpt-image-2__T2I-011.png,1024,1024,1863587,0.03,0.03,False,,5.0,5.0,5.0,5.0,,0,0,0,0,,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: Text legible and exact; strong neon reflections on wet sidewalk; brick wall and 50s diner vibe nailed. | [anthropic/claude-opus-4.7@t0.3]: Text is correct, neon glow convincing, brick wall and wet reflections all present; great atmosphere. | [openai/gpt-5.5@t0.0]: The image closely matches the prompt: a red neon OPEN 24 HOURS sign on a brick diner exterior at night, with wet sidewalk reflections and a convincing 1950s diner atmosphere. | [openai/gpt-5.5@t0.3]: Accurately shows a vintage 1950s diner exterior at night with a brick wall, bright red neon sign reading exactly OPEN 24 HOURS, rain-wet sidewalk, and strong neon reflections.",,,,
3362684d-0006,2026-05-20T14:38:09Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-011,typography,1024x1024,auto,37647,0,200,False,,images/openai_gpt-image-1.5__T2I-011.png,1024,1024,2046840,0.032,0.032,False,,5.0,5.0,4.5,5.0,,0,0,0.25,0,,5.0,4.75,4.875,0.109,"[anthropic/claude-opus-4.7@t0.0]: Text correct, neon glow and wet reflections convincingly rendered. | [anthropic/claude-opus-4.7@t0.3]: Text accurate, neon glow and wet reflections convincing. | [openai/gpt-5.5@t0.0]: Prompt is closely matched: exact OPEN 24 HOURS red neon text, brick diner exterior, night rain, and wet sidewalk reflections are all present. Image is polished and atmospheric, with convincing realism. | [openai/gpt-5.5@t0.3]: Text reads exactly OPEN 24 HOURS in bright red neon on a brick 1950s diner exterior, with rain and strong wet sidewalk reflections.",,,,
3362684d-0007,2026-05-20T14:38:26Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-011,typography,1024x1024,auto,16310,0,200,False,,images/google_imagen-4-ultra__T2I-011.png,1024,1024,1510391,0.06,0.06,False,,5.0,5.0,4.5,5.0,,0,0,0.25,0,,5.0,4.75,4.875,0.109,"[anthropic/claude-opus-4.7@t0.0]: Text reads correctly, neon red, wet reflective sidewalk, brick exterior all present and convincingly rendered. | [anthropic/claude-opus-4.7@t0.3]: Text correct, strong neon and reflections. | [openai/gpt-5.5@t0.0]: Accurately shows a vintage 1950s-style diner exterior with brick, bright red neon sign reading exactly OPEN 24 HOURS, night rain, and strong wet sidewalk reflections. | [openai/gpt-5.5@t0.3]: The sign clearly reads OPEN 24 HOURS in bright red neon, mounted on a brick 1950s diner exterior at night, with rain and strong wet sidewalk reflections. Overall polished and atmospheric; slightly stylized but convincing.",,,,
3362684d-0008,2026-05-20T14:38:33Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-011,typography,1024x1024,auto,7267,0,200,False,,images/google_imagen-4-fast__T2I-011.png,1024,1024,1420665,0.02,0.02,False,,4.5,5.0,4.75,5.0,,0.25,0,0.188,0,,4.75,4.875,4.812,0.152,"[anthropic/claude-opus-4.7@t0.0]: Text 'OPEN 24 HOURS' is clearly legible in red neon; wet pavement reflections and brick wall present. Background 'DINER' sign is partially cut/garbled but not the focal text. | [anthropic/claude-opus-4.7@t0.3]: Text reads correctly; strong neon and wet reflections. Brick is partial and diner styling leans more art-deco than classic 50s, slightly reducing adherence. | [openai/gpt-5.5@t0.0]: Accurately depicts a red neon OPEN 24 HOURS sign on a vintage diner exterior with brick wall and wet sidewalk reflections at night. | [openai/gpt-5.5@t0.3]: Main sign clearly reads OPEN 24 HOURS in bright red neon, mounted on a brick diner exterior at night with wet sidewalk reflections and vintage 1950s diner styling.",,,,
3362684d-0009,2026-05-20T14:39:11Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-011,typography,1024x1024,auto,38314,0,200,False,,images/openai_gpt-image-1-mini__T2I-011.png,1024,1024,1524720,0.008,0.008,False,,5.0,5.0,5.0,5.0,,0,0,0,0,,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: Text correct, strong neon mood, brick and wet sidewalk present. | [anthropic/claude-opus-4.7@t0.3]: Strong neon glow, accurate text, brick wall and wet sidewalk reflection all present. | [openai/gpt-5.5@t0.0]: Matches the prompt closely: exact 'OPEN 24 HOURS' red neon text, brick diner exterior at night, 1950s diner feel, and wet sidewalk reflecting the neon. | [openai/gpt-5.5@t0.3]: Text reads exactly 'OPEN 24 HOURS' in bright red neon on a brick diner exterior at night, with wet sidewalk reflections and convincing 1950s diner styling.",,,,
