run_id,ts_iso,model_id,model_display,tier,prompt_id,category,size,quality,latency_ms,n_retries,http_status,refused,error,local_path,image_width,image_height,image_bytes,raw_cost_usd,effective_cost_usd,watermark_suspected,response_truncated_note
5d2eed07-0000,2026-05-20T17:57:33Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-111,hyper_complex,1024x1024,auto,120511,2,,False,"request_exception: HTTPSConnectionPool(host='api.meshapi.ai', port=443): Read timed out. (read timeout=120)",,,,,0.0,0.0,False,
5d2eed07-0001,2026-05-20T17:58:15Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-111,hyper_complex,1024x1024,auto,42334,0,200,False,,images/openai_gpt-image-1.5__T2I-111.png,1024,1024,2398960,0.032,0.032,False,
5d2eed07-0002,2026-05-20T17:58:39Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-111,hyper_complex,1024x1024,auto,23745,0,200,False,,images/google_imagen-4-ultra__T2I-111.png,1024,1024,1853645,0.06,0.06,False,
5d2eed07-0003,2026-05-20T17:58:46Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-111,hyper_complex,1024x1024,auto,7237,0,200,False,,images/google_imagen-4-fast__T2I-111.png,1024,1024,1632081,0.02,0.02,False,
5d2eed07-0004,2026-05-20T17:59:26Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-111,hyper_complex,1024x1024,auto,39481,0,200,False,,images/openai_gpt-image-1-mini__T2I-111.png,1024,1024,2385132,0.008,0.008,False,
5d2eed07-0005,2026-05-20T18:03:29Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-118,hyper_complex,1024x1024,auto,120212,2,,False,"request_exception: HTTPSConnectionPool(host='api.meshapi.ai', port=443): Read timed out. (read timeout=120)",,,,,0.0,0.0,False,
5d2eed07-0006,2026-05-20T18:04:10Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-118,hyper_complex,1024x1024,auto,41181,0,200,False,,images/openai_gpt-image-1.5__T2I-118.png,1024,1024,2589536,0.032,0.032,False,
5d2eed07-0007,2026-05-20T18:04:34Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-118,hyper_complex,1024x1024,auto,24123,0,200,False,,images/google_imagen-4-ultra__T2I-118.png,1024,1024,910004,0.06,0.06,False,
5d2eed07-0008,2026-05-20T18:04:40Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-118,hyper_complex,1024x1024,auto,5580,0,200,False,,images/google_imagen-4-fast__T2I-118.png,1024,1024,1944871,0.02,0.02,False,
5d2eed07-0009,2026-05-20T18:05:22Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-118,hyper_complex,1024x1024,auto,41825,0,200,False,,images/openai_gpt-image-1-mini__T2I-118.png,1024,1024,2702937,0.008,0.008,False,
5d2eed07-0010,2026-05-20T18:09:25Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-119,hyper_complex,1024x1024,auto,120487,2,,False,"request_exception: HTTPSConnectionPool(host='api.meshapi.ai', port=443): Read timed out. (read timeout=120)",,,,,0.0,0.0,False,
5d2eed07-0011,2026-05-20T18:10:03Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-119,hyper_complex,1024x1024,auto,37227,0,200,False,,images/openai_gpt-image-1.5__T2I-119.png,1024,1024,1582615,0.032,0.032,False,
5d2eed07-0012,2026-05-20T18:10:24Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-119,hyper_complex,1024x1024,auto,21696,0,200,False,,images/google_imagen-4-ultra__T2I-119.png,1024,1024,1188403,0.06,0.06,False,
5d2eed07-0013,2026-05-20T18:10:32Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-119,hyper_complex,1024x1024,auto,7541,0,200,False,,images/google_imagen-4-fast__T2I-119.png,1024,1024,932221,0.02,0.02,False,
5d2eed07-0014,2026-05-20T18:11:11Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-119,hyper_complex,1024x1024,auto,39098,0,200,False,,images/openai_gpt-image-1-mini__T2I-119.png,1024,1024,1691561,0.008,0.008,False,
