run_id,ts_iso,model_id,model_display,tier,prompt_id,category,size,quality,latency_ms,n_retries,http_status,refused,error,local_path,image_width,image_height,image_bytes,raw_cost_usd,effective_cost_usd,watermark_suspected,response_truncated_note
3362684d-0000,2026-05-20T14:35:03Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-001,photoreal_portrait,1024x1024,auto,55788,1,200,False,,images/openai_gpt-image-2__T2I-001.png,1024,1024,1513957,0.03,0.045,False,
3362684d-0001,2026-05-20T14:35:33Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-001,photoreal_portrait,1024x1024,auto,29271,0,200,False,,images/openai_gpt-image-1.5__T2I-001.png,1024,1024,1599627,0.032,0.032,False,
3362684d-0002,2026-05-20T14:35:47Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-001,photoreal_portrait,1024x1024,auto,13976,0,200,False,,images/google_imagen-4-ultra__T2I-001.png,1024,1024,1317197,0.06,0.06,False,
3362684d-0003,2026-05-20T14:35:54Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-001,photoreal_portrait,1024x1024,auto,6905,0,200,False,,images/google_imagen-4-fast__T2I-001.png,1024,1024,1284118,0.02,0.02,False,
3362684d-0004,2026-05-20T14:36:16Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-001,photoreal_portrait,1024x1024,auto,22308,0,200,False,,images/openai_gpt-image-1-mini__T2I-001.png,1024,1024,1436589,0.008,0.008,False,
3362684d-0005,2026-05-20T14:37:32Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-011,typography,1024x1024,auto,75720,0,200,False,,images/openai_gpt-image-2__T2I-011.png,1024,1024,1863587,0.03,0.03,False,
3362684d-0006,2026-05-20T14:38:09Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-011,typography,1024x1024,auto,37647,0,200,False,,images/openai_gpt-image-1.5__T2I-011.png,1024,1024,2046840,0.032,0.032,False,
3362684d-0007,2026-05-20T14:38:26Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-011,typography,1024x1024,auto,16310,0,200,False,,images/google_imagen-4-ultra__T2I-011.png,1024,1024,1510391,0.06,0.06,False,
3362684d-0008,2026-05-20T14:38:33Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-011,typography,1024x1024,auto,7267,0,200,False,,images/google_imagen-4-fast__T2I-011.png,1024,1024,1420665,0.02,0.02,False,
3362684d-0009,2026-05-20T14:39:11Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-011,typography,1024x1024,auto,38314,0,200,False,,images/openai_gpt-image-1-mini__T2I-011.png,1024,1024,1524720,0.008,0.008,False,
3362684d-0010,2026-05-20T14:40:02Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-021,compositional_spatial,1024x1024,auto,50833,0,200,False,,images/openai_gpt-image-2__T2I-021.png,1024,1024,1262101,0.03,0.03,False,
3362684d-0011,2026-05-20T14:40:20Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-021,compositional_spatial,1024x1024,auto,17349,0,200,False,,images/openai_gpt-image-1.5__T2I-021.png,1024,1024,1364705,0.032,0.032,False,
3362684d-0012,2026-05-20T14:40:34Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-021,compositional_spatial,1024x1024,auto,14740,0,200,False,,images/google_imagen-4-ultra__T2I-021.png,1024,1024,1170852,0.06,0.06,False,
3362684d-0013,2026-05-20T14:40:42Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-021,compositional_spatial,1024x1024,auto,8082,0,200,False,,images/google_imagen-4-fast__T2I-021.png,1024,1024,1205567,0.02,0.02,False,
3362684d-0014,2026-05-20T14:40:59Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-021,compositional_spatial,1024x1024,auto,16459,0,200,False,,images/openai_gpt-image-1-mini__T2I-021.png,1024,1024,1274367,0.008,0.008,False,
3362684d-0015,2026-05-20T14:41:56Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-031,multi_subject,1024x1024,auto,56728,0,200,False,,images/openai_gpt-image-2__T2I-031.png,1024,1024,1786817,0.03,0.03,False,
3362684d-0016,2026-05-20T14:42:35Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-031,multi_subject,1024x1024,auto,38994,0,200,False,,images/openai_gpt-image-1.5__T2I-031.png,1024,1024,2115453,0.032,0.032,False,
