run_id,ts_iso,model_id,model_display,tier,prompt_id,category,size,quality,latency_ms,n_retries,http_status,refused,error,local_path,image_width,image_height,image_bytes,raw_cost_usd,effective_cost_usd,watermark_suspected,response_truncated_note,vision_adherence_mean,vision_aesthetic_mean,vision_photoreal_mean,vision_text_mean,vision_anatomy_mean,vision_adherence_var,vision_aesthetic_var,vision_photoreal_var,vision_text_var,vision_anatomy_var,vision_mean_judge_a,vision_mean_judge_b,vision_quality_score,vision_quality_variance,vision_judge_notes,auto_vqa_score,auto_clip_score,auto_aesthetic_score,auto_backend_notes
14ac453c-0001,2026-05-20T18:30:39Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-001,photoreal_portrait,1024x1024,auto,7986,0,200,False,,images/google_imagen-3__T2I-001.png,1024,1024,1545708,0.04,0.04,False,,3.5,4.5,5.0,,5.0,0.25,0.25,0,,0,4.25,4.75,4.5,0.5,"[anthropic/claude-opus-4.7@t0.0]: Realistic elderly woman with silver hair and hazel eyes on gray backdrop, but bun not visible and lighting appears flat/even rather than directional golden hour from left. | [anthropic/claude-opus-4.7@t0.3]: Hair appears loose rather than in a low bun; lighting is flat/even rather than directional golden hour from camera left. Hazel eyes, age, and gray backdrop are well rendered. | [openai/gpt-5.5@t0.0]: Strong photorealistic elderly portrait with silver hair, hazel eyes, visible crow's feet, shallow depth of field, and neutral gray background. Warm left-side lighting is present though not strongly golden-hour, and the low bun is implied but not clearly visible. | [openai/gpt-5.5@t0.3]: Photorealistic and polished portrait with silver tied-back hair, hazel eyes, visible age lines/crow's feet, shallow depth of field, and neutral gray backdrop. Lighting appears from camera left but is more studio-soft than distinctly golden hour, and the low bun is impli",,,,
14ac453c-0002,2026-05-20T18:31:00Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-001,photoreal_portrait,1024x1024,auto,20552,0,200,False,,images/openai_gpt-image-1__T2I-001.png,1024,1024,1447453,0.04,0.04,False,,4.25,4.75,5.0,,5.0,0.188,0.188,0,,0,4.75,4.75,4.75,0.188,"[anthropic/claude-opus-4.7@t0.0]: Strong photoreal portrait with accurate age, silver hair in low bun, warm side light and gray backdrop; eyes read more brown than clearly hazel. | [anthropic/claude-opus-4.7@t0.3]: Strong portrait matching age, silver bun, hazel eyes, warm directional light from left, gray backdrop; DOF appears moderate rather than very shallow. | [openai/gpt-5.5@t0.0]: Strong photorealistic elderly portrait with silver hair in a low bun, visible crow's feet, shallow depth of field, and neutral gray backdrop. Eye color reads more brown than clearly hazel, and the warm light appears to come more from camera right than camera left. | [openai/gpt-5.5@t0.3]: Strong match: elderly woman with silver low bun, hazel eyes, crow's feet, warm golden lighting, shallow depth of field, and neutral gray backdrop. Light direction appears close to the requested camera-left setup.",,,,
14ac453c-0003,2026-05-20T18:31:08Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-011,typography,1024x1024,auto,8028,0,200,False,,images/google_imagen-3__T2I-011.png,1024,1024,1342747,0.04,0.04,False,,4.0,4.5,4.75,4.0,,0,0.25,0.188,1,,4.5,4.125,4.312,0.465,"[anthropic/claude-opus-4.7@t0.0]: Text reads correctly; strong neon mood and wet reflections, though 1950s diner character is subtle. | [anthropic/claude-opus-4.7@t0.3]: Text reads correctly; strong red neon mood, brick visible, wet sidewalk reflects light but reflections are subtle. | [openai/gpt-5.5@t0.0]: Strong red neon diner sign on brick exterior at night with wet sidewalk reflections, but the sign text appears to read 'OPEN 24 HURS' rather than exactly 'OPEN 24 HOURS'. | [openai/gpt-5.5@t0.3]: Strong red neon diner sign on a brick exterior at night with wet sidewalk reflections, matching most requested elements. However the main text appears to read “OPEN 24 HURS” rather than exactly “OPEN 24 HOURS,” missing the O in HOURS.",,,,
14ac453c-0004,2026-05-20T18:31:56Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-011,typography,1024x1024,auto,48140,0,200,False,,images/openai_gpt-image-1__T2I-011.png,1024,1024,1511175,0.04,0.04,False,,4.75,5.0,4.25,5.0,,0.188,0,0.188,0,,4.625,4.875,4.75,0.188,"[anthropic/claude-opus-4.7@t0.0]: Text accurate, strong neon mood, wet reflections present; brick is dim but visible. | [anthropic/claude-opus-4.7@t0.3]: Text correct, strong neon mood and wet reflection; brick is dark but present. | [openai/gpt-5.5@t0.0]: The image closely matches the prompt: red neon 'OPEN 24 HOURS' text is clear and exact, mounted on a brick 1950s-style diner exterior at night, with wet sidewalk/street reflections. Extra 'DINER' text is present but fits the setting. | [openai/gpt-5.5@t0.3]: Matches the requested red neon OPEN 24 HOURS sign on a brick diner exterior at night, with wet sidewalk/street reflections and a convincing vintage diner mood.",,,,
14ac453c-0005,2026-05-20T18:32:04Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-021,compositional_spatial,1024x1024,auto,8216,0,200,False,,images/google_imagen-3__T2I-021.png,1024,1024,1438498,0.04,0.04,False,,4.5,4.5,5.0,,,0.25,0.25,0,,,5.0,4.333,4.667,0.222,"[anthropic/claude-opus-4.7@t0.0]: Strong adherence to placement, materials, and lighting. | [anthropic/claude-opus-4.7@t0.3]: Strong prompt match with convincing materials and lighting. | [openai/gpt-5.5@t0.0]: Correct red wooden cube on left and blue glass sphere on right on polished concrete; very photoreal and polished. Lighting appears more hard/direct with strong window shadows rather than soft north-window light. | [openai/gpt-5.5@t0.3]: Accurately shows a red wooden cube on the left and a blue glass sphere on the right on a polished concrete floor. Photographic still-life quality is strong, but the lighting appears like hard direct window sunlight with strong shadows rather than soft north-window light.",,,,
14ac453c-0006,2026-05-20T18:32:25Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-021,compositional_spatial,1024x1024,auto,20516,0,200,False,,images/openai_gpt-image-1__T2I-021.png,1024,1024,1347735,0.04,0.04,False,,5.0,4.75,5.0,,,0,0.188,0,,,4.833,5.0,4.917,0.076,"[anthropic/claude-opus-4.7@t0.0]: Accurate composition with correct positions, materials, and soft directional light. | [anthropic/claude-opus-4.7@t0.3]: Accurate placement, materials, and lighting. | [openai/gpt-5.5@t0.0]: Accurately shows a red wooden cube on the left and a blue glass sphere on the right on a polished concrete floor with soft studio window-like lighting. | [openai/gpt-5.5@t0.3]: Accurately depicts a red wooden cube on the left and a blue glass sphere on the right on a polished concrete floor with soft studio/window lighting; materials and reflections are convincing.",,,,
14ac453c-0007,2026-05-20T18:32:33Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-031,multi_subject,1024x1024,auto,8094,0,200,False,,images/google_imagen-3__T2I-031.png,1024,1024,1347573,0.04,0.04,False,,4.5,4.5,4.5,,4.5,0.25,0.25,0.25,,0.25,4.0,5.0,4.5,0.25,"[anthropic/claude-opus-4.7@t0.0]: Cats and bird are well rendered, but the cats face each other rather than both looking out at the bird. | [anthropic/claude-opus-4.7@t0.3]: Cats and bird present, but they face each other rather than both looking out at the bird. | [openai/gpt-5.5@t0.0]: Matches the prompt very well: left cat is a fluffy tabby Maine Coon, right cat is a black short-hair, both are on the windowsill looking out at a bird outside. Lighting and composition are natural and polished. | [openai/gpt-5.5@t0.3]: Matches the requested scene very well: fluffy tabby Maine Coon on the left, black short-hair on the right, both on the windowsill looking toward a bird outside in soft daylight.",,,,
14ac453c-0008,2026-05-20T18:33:25Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-031,multi_subject,1024x1024,auto,51757,0,200,False,,images/openai_gpt-image-1__T2I-031.png,1024,1024,2061396,0.04,0.04,False,,3.75,4.75,4.0,,4.5,0.188,0.188,0,,0.25,4.0,4.5,4.25,0.312,"[anthropic/claude-opus-4.7@t0.0]: Cats and bird rendered well, but the tabby cat is looking at the black cat rather than the bird, partially missing the 'both looking at a bird' requirement. | [anthropic/claude-opus-4.7@t0.3]: Maine Coon tabby left, black cat right, both on sill, bird outside; however the tabby looks at viewer not bird, slightly reducing adherence. | [openai/gpt-5.5@t0.0]: Strong match: two cats on a windowsill with a bird outside and warm afternoon light. Left cat is fluffy tabby and Maine Coon-like; right cat is black and short-haired/sleek enough. Both look outward, though the left cat is not as clearly focused on the bird as the right. | [openai/gpt-5.5@t0.3]: Strong match: left cat is fluffy tabby Maine Coon-like, right cat is black short-hair, both are on a windowsill with a bird outside and warm afternoon light. Minor issue: the left cat appears to look more forward than directly at the bird.",,,,
14ac453c-0009,2026-05-20T18:33:35Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-041,style_artistic,1024x1024,auto,10144,0,200,False,,images/google_imagen-3__T2I-041.png,1024,1024,2072236,0.04,0.04,False,,5.0,5.0,5.0,,,0,0,0,,,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: Strong watercolor feel with visible washes and paper texture; all prompt elements present. | [anthropic/claude-opus-4.7@t0.3]: Strong watercolor feel with visible washes and paper texture; all prompt elements present. | [openai/gpt-5.5@t0.0]: Strong match: watercolor look with visible paper grain, loose brushwork, snowy pine forest, wooden cottage, pink-lavender dusk sky, and warm yellow window light. Non-photoreal style is convincing. | [openai/gpt-5.5@t0.3]: Excellent match: clear watercolor style with visible paper grain and loose brushwork, wooden cottage in snowy pine forest, pink-lavender dusk sky, and warm yellow window light. Non-photoreal as requested.",,,,
14ac453c-0010,2026-05-20T18:34:19Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-041,style_artistic,1024x1024,auto,43595,0,200,False,,images/openai_gpt-image-1__T2I-041.png,1024,1024,2453073,0.04,0.04,False,,5.0,5.0,5.0,,,0,0,0,,,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: Strong watercolor feel with visible washes, pink/lavender dusk, glowing windows, snowy pines, and wooden cottage all present. | [anthropic/claude-opus-4.7@t0.3]: Strong watercolor feel with visible washes and paper texture; all prompt elements present. | [openai/gpt-5.5@t0.0]: Excellent match: convincing watercolor with visible loose brushwork and paper grain, small wooden cottage in snowy pine forest, pink-lavender dusk sky, and warm yellow window light. Non-photoreal style is well maintained. | [openai/gpt-5.5@t0.3]: Strong match: clearly watercolor with visible loose brushwork and paper grain, small wooden cottage in snowy pine forest, pink-lavender dusk sky, and warm yellow window light; appropriately non-photorealistic.",,,,
14ac453c-0011,2026-05-20T18:34:27Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-111,hyper_complex,1024x1024,auto,7955,0,200,False,,images/google_imagen-3__T2I-111.png,1024,1024,2230132,0.04,0.04,False,,2.0,4.0,,2.0,3.0,0,0,,0,0,2.75,,2.75,0.688,"[anthropic/claude-opus-4.7@t0.0]: Isometric style achieved with many requested elements present (café, bookstore with cat, taxi, statue, courier on red bike), but numerous specifics fail: pedestrian count exceeds four, no two men in suits drinking espresso, no fallen chair clearly shown, banners text garbled, no clear 'Dr. M. Ruiz DDS' plaque, shadows inconsistent, courier lacks pizza box, signage text largely unreadable/misspelled. | [anthropic/claude-opus-4.7@t0.3]: Isometric style and many elements present (café, bookstore with cat, taxi, statue, courier, dog), but text is largely garbled ('AIPORA CAFE', 'PRAMBLE & VINE BOOKS'), banners unreadable, no visible DDS plaque, pedestrian count exceeds four, shadows inconsistent, missing fallen chair and three pigeons clearly, no clear espresso scene with two suited men.",,,,
