run_id,ts_iso,model_id,model_display,tier,prompt_id,category,size,quality,latency_ms,n_retries,http_status,refused,error,local_path,image_width,image_height,image_bytes,raw_cost_usd,effective_cost_usd,watermark_suspected,response_truncated_note
14ac453c-0001,2026-05-20T18:30:39Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-001,photoreal_portrait,1024x1024,auto,7986,0,200,False,,images/google_imagen-3__T2I-001.png,1024,1024,1545708,0.04,0.04,False,
14ac453c-0002,2026-05-20T18:31:00Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-001,photoreal_portrait,1024x1024,auto,20552,0,200,False,,images/openai_gpt-image-1__T2I-001.png,1024,1024,1447453,0.04,0.04,False,
14ac453c-0003,2026-05-20T18:31:08Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-011,typography,1024x1024,auto,8028,0,200,False,,images/google_imagen-3__T2I-011.png,1024,1024,1342747,0.04,0.04,False,
14ac453c-0004,2026-05-20T18:31:56Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-011,typography,1024x1024,auto,48140,0,200,False,,images/openai_gpt-image-1__T2I-011.png,1024,1024,1511175,0.04,0.04,False,
14ac453c-0005,2026-05-20T18:32:04Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-021,compositional_spatial,1024x1024,auto,8216,0,200,False,,images/google_imagen-3__T2I-021.png,1024,1024,1438498,0.04,0.04,False,
14ac453c-0006,2026-05-20T18:32:25Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-021,compositional_spatial,1024x1024,auto,20516,0,200,False,,images/openai_gpt-image-1__T2I-021.png,1024,1024,1347735,0.04,0.04,False,
14ac453c-0007,2026-05-20T18:32:33Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-031,multi_subject,1024x1024,auto,8094,0,200,False,,images/google_imagen-3__T2I-031.png,1024,1024,1347573,0.04,0.04,False,
14ac453c-0008,2026-05-20T18:33:25Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-031,multi_subject,1024x1024,auto,51757,0,200,False,,images/openai_gpt-image-1__T2I-031.png,1024,1024,2061396,0.04,0.04,False,
14ac453c-0009,2026-05-20T18:33:35Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-041,style_artistic,1024x1024,auto,10144,0,200,False,,images/google_imagen-3__T2I-041.png,1024,1024,2072236,0.04,0.04,False,
14ac453c-0010,2026-05-20T18:34:19Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-041,style_artistic,1024x1024,auto,43595,0,200,False,,images/openai_gpt-image-1__T2I-041.png,1024,1024,2453073,0.04,0.04,False,
14ac453c-0011,2026-05-20T18:34:27Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-111,hyper_complex,1024x1024,auto,7955,0,200,False,,images/google_imagen-3__T2I-111.png,1024,1024,2230132,0.04,0.04,False,
14ac453c-0012,2026-05-20T18:35:13Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-111,hyper_complex,1024x1024,auto,46261,0,200,False,,images/openai_gpt-image-1__T2I-111.png,1024,1024,2179396,0.04,0.04,False,
14ac453c-0013,2026-05-20T18:35:21Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-118,hyper_complex,1024x1024,auto,7868,0,200,False,,images/google_imagen-3__T2I-118.png,1024,1024,1956377,0.04,0.04,False,
14ac453c-0014,2026-05-20T18:36:17Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-118,hyper_complex,1024x1024,auto,56732,0,200,False,,images/openai_gpt-image-1__T2I-118.png,1024,1024,2460102,0.04,0.04,False,
14ac453c-0015,2026-05-20T18:36:26Z,google/imagen-3,Imagen 3 (legacy Google),legacy,T2I-119,hyper_complex,1024x1024,auto,8774,0,200,False,,images/google_imagen-3__T2I-119.png,1024,1024,1227647,0.04,0.04,False,
14ac453c-0016,2026-05-20T18:37:22Z,openai/gpt-image-1,GPT-Image-1 (legacy OpenAI),legacy,T2I-119,hyper_complex,1024x1024,auto,55763,0,200,False,,images/openai_gpt-image-1__T2I-119.png,1024,1024,1835639,0.04,0.04,False,
